Card Name,Card Description,Labels,Members,Due Date,Start Date,List Name,Checklist,Checklist item,Checklist item due,Checklist item member
Chore 01: Project Selection,"**Estimated Time:** 2-3 hours

## Task
Choose your project and validate the idea

## Acceptance Criteria
- Project option selected (1 2 or 3)
- Problem statement documented
- (For Option 3) At least 3 potential users validated the need
- Instructor approval obtained",sprint-0 (blue),,,,,Steps,,,,
,,,,,,,Steps,Review three project options (Task Management Content Sharing Custom),,
,,,,,,,Steps,(For Option 3 - Custom Project): Follow Project Idea and User Discovery Plan,,
,,,,,,,Steps,(For Option 3): Brainstorm 3-5 pain points you or others experience,,
,,,,,,,Steps,(For Option 3): Talk to 3-5 potential users to validate ideas,,
,,,,,,,Steps,(For Option 3): Pick the idea with the most genuine interest,,
,,,,,,,Steps,Document your decision in README.md: What problem does this solve?,,
,,,,,,,Steps,Time box: If you can't find an idea quickly choose Option 1 or 2,,
,,,,,,,Acceptance Criteria,Project option selected (1 2 or 3),,
,,,,,,,Acceptance Criteria,Problem statement documented,,
,,,,,,,Acceptance Criteria,(For Option 3) At least 3 potential users validated the need,,
,,,,,,,Acceptance Criteria,Instructor approval obtained,,
Chore 02: Team Formation,"**Estimated Time:** 30 minutes

## Task
Decide if working solo or with partner and establish collaboration plan

## Acceptance Criteria
- Team composition decided
- (If partnering) Roles and workload split agreed upon
- (If partnering) Communication schedule established",sprint-0 (blue),,,,,Steps,,,,
,,,,,,,Steps,Decide: Working solo or with a partner?,,
,,,,,,,Steps,If partnering: Discuss workload split (frontend/backend features),,
,,,,,,,Steps,If partnering: Agree on meeting schedule (daily standup time),,
,,,,,,,Steps,If partnering: Set up communication channels (Discord Slack etc.),,
,,,,,,,Steps,Document team roles and responsibilities,,
,,,,,,,Acceptance Criteria,Team composition decided,,
,,,,,,,Acceptance Criteria,(If partnering) Roles and workload split agreed upon,,
,,,,,,,Acceptance Criteria,(If partnering) Communication schedule established,,
Chore 03: Identify Users,"**Estimated Time:** 1 hour

## Task
Find real users who will test your application

## Acceptance Criteria
- At least 1 real user identified
- 3-5 potential users listed
- User needs documented
- Testing commitments secured",sprint-0 (blue),,,,,Steps,,,,
,,,,,,,Steps,Identify your first user (ideally you),,
,,,,,,,Steps,List 3-5 potential users by name,,
,,,,,,,Steps,(For Option 3): Reach out via text LinkedIn Discord communities,,
,,,,,,,Steps,Get commitment from at least 1 person to test your app,,
,,,,,,,Steps,Document: How will they use it? How often (daily/weekly)?,,
,,,,,,,Steps,Verify users genuinely need the app (not just being polite),,
,,,,,,,Acceptance Criteria,At least 1 real user identified,,
,,,,,,,Acceptance Criteria,3-5 potential users listed,,
,,,,,,,Acceptance Criteria,User needs documented,,
,,,,,,,Acceptance Criteria,Testing commitments secured,,
Chore 04: Define Core Features,"**Estimated Time:** 1-2 hours

## Task
Identify MVP features prioritize them and write clear MVP description

## Part 1: Core Features (MVP vs Nice-to-Have)
- Brainstorm ALL possible features you could build
- For EACH feature ask: If this feature was missing would my users still get value from the app?
  - If YES → Nice-to-Have
  - If NO → MVP Feature
- Label 3-5 features as MVP Features (must have for launch)
- Label all other features as Nice-to-Have or Future Enhancement
- Verify MVP features can be built in 2-3 weeks
- Create features list in a document or README with clear labels

## Part 2: Define MVP
- Write 2-3 sentence MVP description
- Example: Users can register login create tasks mark them complete and view their task list. That's it.
- Verify: Can a user get value from JUST these core features? (Must be YES)
- Document MVP in README or planning doc
- Get instructor approval on MVP scope

## Acceptance Criteria
- Complete feature list created with clear labels
- 3-5 core MVP features identified and labeled as MVP Features
- Non-essential features clearly labeled as Nice-to-Have
- Each feature passes the test: Would users still get value without this?
- MVP features are realistic for 2-3 week timeline
- MVP description written (2-3 sentences)
- MVP provides clear user value
- Scope is realistic for 2-3 weeks
- Instructor approved MVP",sprint-0 (blue),,,,,Part 1: Core Features,,,,
,,,,,,,Part 1: Core Features,Brainstorm ALL possible features you could build,,
